Exp_Mass,Exp_Intensity
565.346047,26192
616.177164,43743
655.331575,13454
682.364919,13908
728.430689,7607
742.373612,13865
768.415853,13582
799.410381,7731
806.405075,12800
816.416017,6530
823.431411,58381
829.478546,18996
830.336323,7455
830.437408,5254
831.947019,30898
855.436532,7214
876.799736,4290
876.88222,3146
876.965146,3416
891.418841,10813
900.227953,6375
901.477622,8142
902.145142,3914
910.825225,3282
911.01159,4633
912.013504,2736
914.583185,6708
916.140759,7226
916.475305,12786
917.493978,2984
918.483513,3001
918.65719,6326
918.824269,7843
929.456327,4679
930.488043,16068
930.499987,4600
931.429381,8347
932.464368,37118
932.594079,25949
932.845057,10667
933.019032,14290
933.527951,63819
934.500813,40332
936.039206,42755
943.420833,7823
943.499296,3836
943.499296,3748
945.725308,3450
946.252892,8340
946.753463,6039
947.87661,6793
948.436874,11293
948.812871,4874
949.188424,5100
949.250903,4277
950.310478,4885
951.229127,6165
951.527377,241923
952.321915,8063
953.496795,27853
955.933381,5581
956.566651,4056
956.850331,5945
959.504504,5252
960.546355,14402
963.485215,22568
964.78769,6523
965.01265,4823
966.503046,3760
966.57458,20291
967.010305,4316
969.332531,4954
970.514188,4792
970.53032,25629
971.032248,20878
972.514343,5708
972.523168,2750
972.950409,5702
973.453181,4854
974.040116,18748
974.541847,12173
977.514412,15467
978.017198,14302
980.790613,5608
981.518147,8538
982.511746,7879
982.553474,69681
983.534245,13495
985.517478,9683
986.438237,12353
986.949091,4785
987.518591,9375
989.351887,4454
990.434869,5801
990.585849,5594
994.02599,5136
994.511737,8183
994.529721,5751
995.474973,6879
996.518991,10506
997.865119,8176
998.871483,43485
999.206225,47053
999.932915,6265
1000.028583,3162
1000.054289,17146
1001.356892,5547
1001.560628,3471
1001.666282,5248
1002.522267,4559
1003.201021,3503
1003.555046,6757
1004.057949,7904
1004.519862,13794
1004.519862,9678
1006.048853,36475
1012.328505,10102
1012.410418,11158
1012.429195,12721
1012.736812,10762
1013.443789,10721
1016.38679,3777
1016.527319,5202
1016.943408,5544
1017.344734,3086
1019.530481,7080
1019.543715,9149
1020.696698,9391
1021.533272,4754
1021.533272,3459
1021.540356,5137
1022.543278,12131
1023.158324,9503
1024.413879,12118
1024.533227,48905
1025.5547,13042
1026.549834,12749
1027.388911,6539
1027.522914,12558
1027.544044,7992
1028.026203,7670
1028.260677,6645
1031.061895,42815
1034.217085,8978
1034.535224,9968
1034.577002,11843
1035.442223,9594
1035.554516,10898
1035.849746,9270
1037.268433,7934
1037.278273,5316
1037.497921,5454
1038.124674,4838
1038.560141,75429
1038.840976,7101
1039.551754,5481
1039.575452,12590
1045.254437,8464
1053.058955,34911
1054.591552,22817
1055.508305,17195
1056.220601,6842
1057.095712,8047
1057.599435,12155
1059.694873,4619
1064.199186,7409
1065.133909,4481
1065.55697,6702
1065.643988,52264
1066.559478,7472
1066.559478,7890
1067.103112,7440
1067.605019,7192
1067.82022,4060
1068.088083,8674
1068.109378,9444
1068.593732,6464
1073.908315,2700
1074.106056,8608
1075.819308,11379
1077.574422,7542
1077.869769,9862
1078.555526,10184
1080.364241,3271
1080.383487,3329
1080.565839,12970
1080.583188,10593
1082.60274,11324
1083.366164,11573
1084.567548,12894
1092.529022,136674
1096.070352,2874
1096.341072,10520
1096.560951,4606
1096.600249,12354
1097.575462,6295
1097.583222,8408
1099.572268,6739
1102.833983,2614
1105.083121,16175
1106.37018,3765
1107.379062,6182
1108.078336,3748
1108.2512,3689
1109.598961,13383
1109.755293,7061
1109.958555,3756
1109.969745,6449
1110.096831,6287
1110.468979,4770
1110.752219,3840
1111.565382,6170
1111.604042,26869
1111.616622,16875
1112.105987,16391
1112.115575,8351
1112.286987,5032
1112.615126,10663
1112.700478,5700
1113.423044,4592
1113.671332,4421
1114.283349,10521
1114.498042,30482
1114.570122,7960
1114.957372,3635
1115.625082,4608
1115.675064,11174
1115.84705,9383
1116.58457,10718
1117.858646,6096
1117.941959,7315
1118.277183,9373
1118.611876,11901
1119.086441,8785
1121.119824,2850
1122.598538,21429
1125.476229,2853
1125.573524,3200
1125.573524,5969
1127.036512,7867
1127.555929,4841
1127.59755,26224
1128.085412,8241
1128.134199,3658
1128.884053,6761
1129.038728,6353
1129.583508,7089
1130.126744,17011
1130.628286,11788
1131.585471,5280
1131.928176,3198
1132.462788,5514
1133.928609,19329
1134.10205,37397
1134.264547,33043
1134.745976,18566
1134.960036,10896
1135.601386,16360
1135.934123,3334
1136.012353,10978
1136.172356,10600
1136.478263,3255
1137.947165,5473
1138.227565,5259
1139.130858,21883
1139.633924,20682
1139.748026,11858
1140.618844,35645
1141.604325,12771
1141.622527,4914
1142.589069,5289
1142.910709,9743
1143.603494,6620
1143.612213,5269
1143.91451,5579
1144.060523,6208
1144.110261,5859
1145.439864,4256
1146.302712,10743
1146.6111,18520
1146.624222,75548
1147.125904,57099
1147.221593,42844
1147.823752,27169
1148.024426,18618
1148.597361,16072
1149.137646,4106
1150.317435,5269
1150.588826,10229
1150.60806,20615
1150.965944,11604
1151.300845,16324
1151.636385,8527
1151.793146,5737
1152.619742,8760
1153.128667,12985
1153.601123,5429
1153.615227,14200
1153.629743,10365
1153.660928,6538
1154.255998,11803
1154.58999,29647
1155.462125,10024
1155.604658,21500
1155.750362,14015
1155.894496,16577
1156.929072,4412
1157.177456,5012
1158.113712,2730
1158.113712,5572
1158.426599,6171
1160.40512,5294
1160.620517,27727
1161.121236,16747
1161.24021,3123
1161.361088,3533
1161.551421,85651
1161.611204,9575
1162.281641,9708
1162.411906,3155
1162.60928,8310
1162.783884,5505
1162.997536,9148
1163.332139,9146
1163.63927,26172
1163.63927,16106
1163.949491,8978
1164.14112,11597
1164.604222,11606
1164.763694,3089
1165.656066,8002
1165.952929,16776
1166.37468,7774
1166.616075,9480
1166.616075,13024
1166.874702,6368
1167.122386,6629
1167.62689,6404
1168.592283,13141
1169.127812,3534
1170.114975,4343
1170.828974,8986
1171.686322,7787
1172.619021,4885
1172.647238,5831
1172.837927,2672
1173.277892,5571
1173.595153,5512
1173.996886,6295
1174.474662,3254
1174.615088,8270
1175.456342,5389
1175.957793,4977
1175.975681,7781
1176.310167,8072
1176.609382,4675
1177.057491,5613
1177.287145,5364
1177.65193,13667
1178.003714,8051
1178.623368,9588
1179.561425,66208
1180.180692,9734
1180.292699,6416
1180.403726,10305
1180.626025,75044
1180.664146,4062
1181.071576,4203
1185.623198,5050
1185.623198,8033
1186.126559,5204
1186.782131,18899
1187.02287,6239
1188.131618,6057
1188.634829,10684
1189.356254,5778
1189.481498,8884
1189.53985,9883
1191.268867,5829
1191.64171,27956
1195.129831,21511
1195.629638,26001
1196.481195,3750
1197.312546,5520
1197.632324,6628
1199.408272,7628
1206.628908,11657
1208.667714,132533
1209.497968,7992
1212.636844,8555
1214.871683,12246
1214.939693,9866
1215.031173,5051
1215.547106,58797
1215.644705,15476
1217.185257,45537
1217.95478,14493
1220.032252,13617
1220.804003,34781
1223.108206,10353
1224.436858,20009
1224.436858,27158
1226.399105,3804
1228.708247,44127
1228.79178,7071
1229.633929,11028
1231.142046,4703
1231.350867,37372
1231.647238,7458
1231.658743,8299
1232.428927,13573
1232.8053,7924
1233.228011,3849
1234.636167,6086
1234.661094,25885
1234.813952,5030
1235.016448,10314
1235.044348,5625
1235.573245,6579
1235.685195,9270
1236.166975,5067
1236.166975,7948
1236.782155,8093
1237.115521,2826
1237.193292,4834
1237.346958,5086
1237.654671,3954
1237.669163,9724
1237.681759,7643
1237.771956,3136
1237.88936,5411
1238.038939,4035
1238.083167,4767
1238.149897,3758
1238.184181,6440
1238.225988,6177
1238.403595,5958
1238.656446,27155
1238.90779,9077
1238.9654,8118
1238.982572,8184
1239.014794,7055
1239.115464,6660
1239.17521,17211
1239.269578,5361
1239.349882,7514
1239.349882,9068
1239.423333,6369
1239.501841,7629
1239.679056,20607
1239.832831,6878
1240.041209,7184
1240.154338,8731
1240.26496,5730
1240.535438,6187
1240.658805,5243
1240.685091,11018
1240.856222,6825
1241.000412,3334
1241.07518,7733
1241.163846,7365
1241.912303,6959
1241.992886,4517
1242.150429,23146
1242.535281,5204
1242.574383,10231
1242.650558,30946
1243.909711,10803
1245.698653,24483
1246.194822,30253
1247.196959,8781
1248.653726,8375
1248.913993,6695
1249.165365,8970
1249.414168,12201
1249.683916,5097
1250.680548,11699
1252.338302,7846
1252.653542,4150
1252.710822,4505
1252.849784,3816
1253.423038,4355
1253.643304,3918
1253.704045,16918
1255.003105,5463
1255.022937,3862
1255.593559,26449
1255.645758,11835
1255.849928,5340
1255.993643,3365
1256.117384,6937
1256.160755,3299
1256.297609,4921
1257.362004,5231
1257.664616,9160
1257.680702,4991
1258.213992,5563
1258.305525,9236
1258.336128,5526
1258.506979,6847
1258.832702,6190
1258.84538,20105
1259.345833,13511
1259.484113,4506
1260.175045,46510
1260.64876,4675
1260.67906,63303
1260.844832,10735
1261.570166,11142
1262.184499,7916
1262.779406,3159
1262.995228,6554
1263.575048,6006
1263.848026,6306
1264.041439,4582
1264.041439,6593
1265.104255,4163
1265.392186,7045
1266.466776,7849
1266.665275,9178
1266.855161,8259
1267.253523,7751
1268.653,5293
1268.854711,4928
1269.131287,3361
1269.255066,3873
1269.324653,6245
1269.98612,4422
1272.240816,5120
1272.39357,4135
1272.673094,4610
1272.685881,7200
1272.931166,8035
1273.011996,4531
1273.457891,8923
1273.569965,6145
1273.784125,6956
1274.653898,5780
1274.920419,4676
1274.920419,5058
1275.003701,8283
1275.112396,16025
1275.178381,16651
1275.254935,11775
1275.397836,16076
1275.54234,5279
1275.677322,6994
1277.00959,6134
1277.342033,4761
1277.542911,3032
1277.599313,14284
1277.674372,4622
1277.961063,4331
1278.932177,5521
1279.340463,2996
1279.690417,6731
1280.17731,4740
1280.665067,6883
1282.639282,3519
1286.687744,7106
1289.182156,10165
1289.87235,6925
1289.884801,8522
1290.983153,7423
1291.183555,12762
1291.283401,8370
1291.485151,5557
1291.683967,9694
1292.982906,5894
1293.185701,6141
1293.291956,4069
1293.682818,4200
1295.514676,2896
1296.020646,10646
1297.68621,10006
1297.861134,4889
1298.636262,8191
1300.685612,8452
1300.831734,5499
1300.853346,9269
1301.186852,13639
1302.443196,10672
1302.787398,3394
1303.08,4966
1303.282698,5391
1303.484376,9717
1304.346336,3866
1304.60054,4648
1304.662728,5036
1304.68447,9080
1304.839545,5637
1305.022148,5541
1305.790966,5121
1305.994068,5132
1306.197127,5286
1306.411055,4099
1306.691298,10035
1308.624626,14621
1309.71606,133103
1310.690367,12850
1310.70212,11624
1311.197966,10999
1312.300788,13931
1312.503123,17503
1312.986171,13474
1313.129683,10673
1313.52709,12751
1314.286187,3680
1315.68178,8799
1315.931576,6621
1316.100977,6700
1316.434538,7781
1316.599588,6616
1316.877476,5294
1317.047561,6864
1317.09518,6808
1317.783149,8139
1317.952523,17667
1318.036436,12353
1318.868302,19498
1319.121748,16349
1319.368599,26247
1319.953962,22531
1320.037051,37081
1320.287076,28885
1320.453311,33448
1320.536375,48494
1320.61927,17400
1320.785903,40010
1321.369535,16138
1321.701542,28962
1323.683447,11031
1326.19834,13367
1328.10308,3752
1328.869246,17655
1329.20452,28183
1329.956568,4029
1330.306002,5215
1330.463905,5078
1330.907085,6069
1331.876514,5502
1331.897316,5726
1331.897316,5742
1332.11466,4600
1333.039723,5300
1333.156538,3670
1333.954083,3279
1334.879467,7907
1334.906239,10585
1335.183952,7094
1335.207405,4159
1335.293598,7128
1336.033204,6971
1336.543568,12107
1337.372798,11431
1337.372798,8109
1338.049132,11185
1340.361031,8759
1340.875836,15396
1340.961387,7793
1341.213233,14462
1341.71029,45777
1342.043714,11197
1342.376575,7936
1342.518609,8773
1342.629234,10132
1343.128542,4282
1344.11451,7658
1344.211811,4601
1344.516933,4557
1345.71168,17112
1345.917273,4521
1346.724933,4549
1347.213402,5373
1348.085033,3233
1348.912172,8000
1349.714765,12984
1350.079803,8514
1350.734196,26251
1352.660045,12002
1352.718815,36453
1352.80896,7835
1352.900144,9858
1352.99041,8736
1353.173474,9853
1353.221137,13949
1353.631437,5251
1354.446672,7304
1354.811896,4666
1354.992271,6316
1355.079641,3908
1355.264144,7208
1355.355173,5895
1355.720003,4746
1356.04522,4750
1356.115449,5389
1356.115449,3227
1356.215427,5438
1356.385299,4164
1356.536571,8438
1356.629983,3876
1357.226658,6086
1357.512168,5739
1357.719761,17477
1357.814374,5189
1357.912931,3541
1358.121329,2756
1359.156486,3958
1359.156486,5038
1359.173242,5108
1360.045966,3123
1360.217663,11845
1360.468567,4831
1360.720056,15766
1360.826662,4355
1361.324398,3445
1362.243215,9478
1362.711776,10207
1362.922575,5162
1362.970351,6613
1363.126388,3584
1363.695073,13311
1364.715093,15521
1364.822356,5692
1368.718926,6795
1368.730018,8852
1368.821388,5041
1368.912948,3319
1369.840775,3174
1370.672204,15759
1370.722806,11863
1372.714416,5472
1372.854438,3319
1373.529029,3351
1373.724493,6817
1374.273951,7314
1374.452577,6218
1375.088827,9804
1375.365549,5961
1375.546351,7233
1375.729412,27607
1376.231036,3167
1376.324509,7793
1376.52482,6884
1376.613015,6356
1376.854719,4572
1376.94866,5128
1377.754681,5070
1378.103823,5583
1378.416836,10329
1378.631069,3783
1379.089081,5176
1379.252805,3571
1379.836589,5091
1380.530728,9814
1380.754165,29199
1380.853428,4917
1380.930683,8978
1382.33154,9408
1382.930338,5392
1383.133158,7686
1383.653151,18417
1384.033235,6408
1385.223581,5004
1385.53723,5172
1386.469769,2881
1386.89149,3525
1387.031489,5269
1387.128196,6826
1387.173282,6029
1387.462019,11734
1388.436643,12368
1389.723106,6166
1391.034244,7676
1391.935846,8906
1392.13559,9116
1392.230875,9924
1393.032516,12024
1393.4037,5472
1393.703589,3244
1393.737097,8571
1393.939192,8403
1394.079822,3341
1394.139558,3973
1394.471424,5478
1394.544012,3680
1394.612971,2964
1394.878108,4593
1395.238441,5893
1395.64051,9838
1395.741551,13885
1395.860682,3225
1396.616224,4130
1397.479762,4043
1398.769365,8225
1399.735617,11865
1400.290563,5117
1400.407429,6854
1400.523413,7389
1400.858349,4094
1401.140869,4722
1401.268709,2996
1401.624839,16018
1401.858376,6490
1402.002843,6323
1402.039423,5680
1402.258049,9960
1402.504923,5530
1403.089396,5900
1403.363412,5687
1404.738454,12939
1405.251125,7949
1407.104448,3621
1409.758064,5901
1410.018636,5326
1410.542535,7192
1410.568055,4231
1411.738187,8796
1411.754675,10852
1411.864674,4881
1411.94277,6917
1412.087818,8101
1412.346641,6016
1412.909461,5043
1413.244794,3369
1413.728654,4832
1413.748696,12704
1413.868818,3449
1414.046614,5188
1414.150214,6896
1414.345557,4897
1414.42276,7267
1414.448286,4146
1414.552537,4218
1415.04515,3844
1415.25023,8926
1415.364817,4950
1415.455197,5471
1415.554034,5508
1415.752988,24523
1416.085997,6054
1417.198872,5064
1417.242596,5390
1417.610063,5330
1419.31536,4441
1419.469554,5286
1421.749731,10659
1421.749731,7083
1421.778221,6697
1422.25563,6948
1423.54716,5268
1425.313808,5379
1425.530115,3209
1425.756341,8492
1427.499105,3824
1427.556995,5856
1428.421053,7804
1428.438966,5211
1428.755005,7296
1429.132642,5033
1429.253483,5117
1429.645746,3228
1430.422729,7637
1430.76117,13356
1432.102267,3821
1432.20374,4192
1432.771325,7455
1432.848321,9363
1433.018631,7678
1433.398235,4548
1433.668202,6100
1433.761704,14934
1433.77965,12318
1434.093586,10178
1434.255447,8815
1434.312459,11874
1434.403244,8729
1434.425782,9849
1434.650712,4623
1435.130516,12415
1435.27498,5827
1435.585519,15203
1436.200169,8637
1436.743076,4769
1436.85549,6919
1436.924716,8425
1437.260652,8622
1437.313416,13591
1437.492698,10990
1437.564169,7538
1437.582487,8069
1437.677628,21346
1437.764608,34074
1437.972289,9431
1438.038635,19659
1438.363729,6312
1438.534805,12429
1438.657626,5494
1438.859069,10837
1439.559028,6808
1439.749407,8323
1440.586096,14020
1440.676336,9223
1441.31537,16511
1441.403776,14080
1441.767838,17628
1443.435863,7123
1443.67745,11710
1444.496014,8006
1444.76497,11963
1445.267539,3884
1446.763551,16231
1446.964833,3338
1448.762098,8340
1449.112863,6137
1449.262744,4073
1449.799382,17690
1450.326505,3057
1451.730018,9157
1451.787628,3300
1452.017458,8178
1452.268208,8318
1452.769278,12011
1454.377043,3895
1454.408495,3463
1454.785634,7858
1455.274292,4430
1455.570082,4691
1455.592568,7085
1456.127845,4287
1456.323313,4503
1456.41039,5172
1456.774665,11035
1456.891048,4624
1457.046491,4787
1457.274863,11107
1458.412082,7343
1458.503785,5587
1458.539749,3528
1458.774376,19294
1459.140028,10563
1459.260256,4042
1459.280564,4901
1460.047509,3687
1460.319969,17617
1460.59288,8924
1461.406296,10047
1461.502505,10534
1461.684079,8008
1461.774757,9928
1462.166046,5430
1462.536822,7277
1463.036813,11869
1463.234555,4744
1463.317238,5970
1463.50362,5528
1464.378181,9925
1464.57621,11016
1464.777809,25747
1465.109963,4890
1465.68233,5613
1465.963072,3727
1466.761323,4627
1467.179849,6532
1467.516361,3397
1468.767996,4568
1468.785283,4435
1469.3818,3461
1469.742862,8896
1469.98211,4690
1470.278387,4671
1471.108317,3642
1472.807427,6995
1475.762288,2911
1476.789827,6723
1476.813871,40799
1477.275911,3492
